hhid,year,month,subreg,region,covid,urban,eacode,mult,rmult,regurb,equiv,hsize,usize,rexp30,nrrexp30,fnrfxp30,cpexp30,fcpexp30,welfare,hmult,plinen,ctpline,hpline,spline,fplinen,povlinen,spline_n,hpline_n,poor_20,poor_new,quints,decile
100001,2020,9,Karamoja,Northern,Covid period,Rural,1000,130.10281,130,North rural,2.860799968242645,3,3,42710.59,80985.93,30354.619,43530.168,16226.342,15216.082,390.30844,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Poor,Poor,Quintile 1,1
100002,2020,9,Karamoja,Northern,Covid period,Rural,1000,119.09322,119,North rural,2.484800010919571,4,4,73443.242,144377.78,59077.777,77532.195,31580.57,31202.59,476.37289,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Poor,Poor,Quintile 1,1
100004,2020,9,Karamoja,Northern,Covid period,Rural,1000,121.29514,121,North rural,2.303266644477844,3,3,169933.67,326868.28,168801.55,175975.03,90234.422,76402.367,363.88544,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Non-poor,Non-poor,Quintile 3,6
100007,2020,9,Karamoja,Northern,Covid period,Rural,1000,121.29514,121,North rural,2.516433298587799,3,3,52369.434,100994.7,53779.246,54198.754,28748.191,21537.926,363.88544,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Poor,Poor,Quintile 1,1
10001,2019,9,Buganda North,Central,Before covid,Rural,100,1734.5326,1735,Centrral urban,1.004833340644836,1,1,52442.512,99686.055,78610.711,54392.566,42455.559,54130.934,1734.5326,11463.445,15946.951,30611.451,42584,63980,87530,51701.121,37790.902,Non-poor,Non-poor,Quintile 2,4
10002,2019,9,Buganda North,Central,Before covid,Rural,100,1648.1876,1648,Centrral urban,1.636533319950104,2,2,58093.883,118289.35,75289.352,65193.953,40661.777,39836.617,3296.3752,11463.445,15946.951,30611.451,42584,63980,87530,51701.121,37790.902,Poor,Poor,Quintile 1,2
10003,2019,9,Buganda North,Central,Before covid,Rural,100,1605.0151,1605,Centrral urban,2.909266710281372,4,4,316129.94,607592.44,517989.34,330397.56,279752.28,113567.3,6420.0605,11463.445,15946.951,30611.451,42584,63980,87530,51701.121,37790.902,Non-poor,Non-poor,Quintile 4,8
10004,2019,9,Buganda North,Central,Before covid,Rural,100,1648.1876,1648,Centrral urban,3.008433282375336,4,4,119027.05,218374.06,81664.664,122163.54,44104.914,40607.031,6592.7505,11463.445,15946.951,30611.451,42584,63980,87530,51701.121,37790.902,Poor,Poor,Quintile 1,2
10005,2019,9,Buganda North,Central,Before covid,Rural,100,1665.4567,1665,Centrral urban,4.44186669588089,5,5,164630.59,300983.81,131661.5,168266.86,71106.875,37882.016,8327.2832,11463.445,15946.951,30611.451,42584,63980,87530,51701.121,37790.902,Poor,Poor,Quintile 1,2
10006,2019,9,Buganda North,Central,Before covid,Rural,100,1685.1926,1685,Centrral urban,5.201766610145569,7,7,176960.8,335536.91,155691.52,186052.58,84084.852,35767.191,11796.349,11463.445,15946.951,30611.451,42584,63980,87530,51701.121,37790.902,Poor,Poor,Quintile 1,2
10007,2019,9,Buganda North,Central,Before covid,Rural,100,1619.406,1619,Centrral urban,2.467033326625824,3,3,208802.3,405049.84,304318.5,222128.95,164354.34,90038.891,4858.2178,11463.445,15946.951,30611.451,42584,63980,87530,51701.121,37790.902,Non-poor,Non-poor,Quintile 4,7
10008,2019,9,Buganda North,Central,Before covid,Rural,100,1648.1876,1648,Centrral urban,1.879166662693024,2,2,111796.88,207349,118293.61,114759.21,63887.234,61069.203,3296.3752,11463.445,15946.951,30611.451,42584,63980,87530,51701.121,37790.902,Non-poor,Non-poor,Quintile 3,5
10009,2019,9,Buganda North,Central,Before covid,Rural,100,1619.406,1619,Centrral urban,2.112499997019768,3,3,62431.77,118418.12,92985.242,64738.398,50218.859,30645.396,4858.2178,11463.445,15946.951,30611.451,42584,63980,87530,51701.121,37790.902,Poor,Poor,Quintile 1,1
1001,2020,2,Buganda North,Central,Before covid,Rural,10,321.74051,322,Centrral urban,5.239899933338165,7,7,381623.91,749279.31,365161.53,410088.84,193186.72,78262.727,2252.1836,11463.445,15946.951,30611.451,42584,63980,87530,51701.121,37790.902,Non-poor,Non-poor,Quintile 3,6
10010,2019,9,Buganda North,Central,Before covid,Rural,100,1648.1876,1648,Centrral urban,3.056599974632263,4,4,148003.47,287389.13,198917.89,158118.66,107430.27,51730.242,6592.7505,11463.445,15946.951,30611.451,42584,63980,87530,51701.121,37790.902,Non-poor,Non-poor,Quintile 2,4
100103,2020,10,Karamoja,Northern,Covid period,Rural,1001,372.22684,372,North rural,.9922666549682617,1,1,262979.5,497203.5,165252.42,266558.34,88521.766,268635.81,372.22684,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Non-poor,Non-poor,Quintile 5,10
100105,2020,11,Karamoja,Northern,Covid period,Rural,1001,301.42334,301,North rural,2.508133322000504,4,4,107389.46,204925.36,104585.43,110051.05,56319.563,43877.672,1205.6934,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Non-poor,Poor,Quintile 2,3
100106,2020,11,Karamoja,Northern,Covid period,Rural,1001,325.02451,325,North rural,4.233433306217194,6,6,254280.17,482422,222892.81,259261.3,120028.44,61241.379,1950.147,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Non-poor,Non-poor,Quintile 3,5
100107,2020,11,Karamoja,Northern,Covid period,Rural,1001,343.90543,344,North rural,4.134133338928223,5,5,246122.44,465759.09,165348.14,249887.09,89040.461,60444.855,1719.5271,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Non-poor,Non-poor,Quintile 3,5
1002,2020,2,Buganda North,Central,Before covid,Rural,10,326.52054,327,Centrral urban,4.968433290719986,7,7,300656,615626.31,374751.53,334421.19,198260.25,67309.18,2285.6438,11463.445,15946.951,30611.451,42584,63980,87530,51701.121,37790.902,Non-poor,Non-poor,Quintile 3,5
100201,2020,11,Karamoja,Northern,Covid period,Rural,1002,259.61856,260,North rural,2.482833325862885,4,4,73190.305,140410.23,79781.477,75418.961,42962.563,30376.168,1038.4742,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Poor,Poor,Quintile 1,1
100202,2020,11,Karamoja,Northern,Covid period,Rural,1002,245.21829,245,North rural,.7738000154495239,1,1,32247.77,61355.648,19755.65,32904.711,10638.477,42523.535,245.21829,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Non-poor,Poor,Quintile 2,3
100204,2020,11,Karamoja,Northern,Covid period,Rural,1002,269.90448,270,North rural,4.830466717481613,7,7,181021.02,345408.91,171625.11,185742.59,92420.633,38452.309,1889.3313,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Poor,Poor,Quintile 1,2
100206,2020,11,Karamoja,Northern,Covid period,Rural,1002,302.8194,303,North rural,1.722266674041748,2,2,126058.86,242251.77,200982.69,130434.49,108229.77,75734.203,605.63879,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Non-poor,Non-poor,Quintile 3,6
100208,2020,11,Karamoja,Northern,Covid period,Rural,1002,245.21829,245,North rural,.7738000154495239,1,1,111831.82,208857.14,0,111831.82,0,144522.89,245.21829,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Non-poor,Non-poor,Quintile 5,9
100210,2020,11,Karamoja,Northern,Covid period,Rural,1002,245.21829,245,North rural,1.654900014400482,2,2,76730.859,146983.17,73877.68,79011.32,39783.348,47743.863,490.43658,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Non-poor,Non-poor,Quintile 2,3
1003,2020,2,Buganda North,Central,Before covid,Rural,10,336.0806,336,Centrral urban,1.004833340644836,1,1,87089.867,169794.27,124374.12,91444.57,65799.445,91004.711,336.0806,11463.445,15946.951,30611.451,42584,63980,87530,51701.121,37790.902,Non-poor,Non-poor,Quintile 4,7
100301,2020,11,Karamoja,Northern,Covid period,Rural,1003,97.966393,98,North rural,.8694999814033508,1,1,71880.539,136928.75,80839.703,73640.508,43532.418,84692.938,97.966393,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Non-poor,Non-poor,Quintile 4,7
100303,2020,11,Karamoja,Northern,Covid period,Rural,1003,105.63707,106,North rural,2.174499988555908,3,3,83071.711,160763.8,101947.36,86389.781,54898.957,39728.574,316.91119,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Poor,Poor,Quintile 1,2
100304,2020,11,Karamoja,Northern,Covid period,Rural,1003,105.63707,106,North rural,2.471766650676727,3,3,102327.02,195796.33,88016.484,105182.27,47397.137,42553.477,316.91119,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Non-poor,Poor,Quintile 2,3
100305,2020,11,Karamoja,Northern,Covid period,Rural,1003,109.47241,109,North rural,1.866599977016449,2,2,119267.18,236109.7,95258.047,127291.35,51296.742,68194.234,218.94482,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Non-poor,Non-poor,Quintile 3,5
100306,2020,11,Karamoja,Northern,Covid period,Rural,1003,109.47241,109,North rural,1.885933339595795,2,2,87633.75,172686.94,129649.37,92945.352,69816.57,49283.477,218.94482,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Non-poor,Non-poor,Quintile 2,3
100307,2020,11,Karamoja,Northern,Covid period,Rural,1003,109.47241,109,North rural,2.915833324193954,4,4,104380.98,200450.03,104150.8,107847.06,56085.512,36986.703,437.88965,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Poor,Poor,Quintile 1,2
100308,2020,11,Karamoja,Northern,Covid period,Rural,1003,97.966393,98,North rural,1.541166663169861,2,2,141094.56,272253.5,169445.27,146488.58,91246.781,95050.445,195.93279,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Non-poor,Non-poor,Quintile 4,7
100310,2020,11,Karamoja,Northern,Covid period,Rural,1003,111.77361,112,North rural,3.584799945354462,5,5,115884.66,228671.03,142875.14,123125.68,76938.688,34346.598,558.86804,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Poor,Poor,Quintile 1,2
1004,2020,2,Buganda North,Central,Before covid,Rural,10,302.62042,303,Centrral urban,.8636999726295471,1,1,84771.547,170439.81,102139.8,92554.438,54036.508,107160.41,302.62042,11463.445,15946.951,30611.451,42584,63980,87530,51701.121,37790.902,Non-poor,Non-poor,Quintile 4,8
100401,2020,8,Karamoja,Northern,Covid period,Rural,1004,260.56448,261,North rural,.8627333045005798,1,1,128891.02,243237.5,80393.078,130630.32,43020.859,151414.48,260.56448,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Non-poor,Non-poor,Quintile 5,9
